question_id,question,human_answer,human_attribution,model_answer,model_attribution
11,Wanneer kan een verblijfsvergunning voor onbepaalde tijd worden ingetrokken?,"De verblijfsvergunning voor onbepaalde tijd, bedoeld in artikel 20, kan worden ingetrokken indien: a. de houder daarvan zijn hoofdverblijf buiten Nederland heeft gevestigd; b. de vreemdeling onjuiste gegevens heeft verstrekt dan wel gegevens heeft achtergehouden terwijl die gegevens tot afwijzing van de aanvraag tot het verlenen, wijzigen of verlengen zouden hebben geleid; c. de houder daarvan bij onherroepelijk geworden rechterlijk vonnis is veroordeeld wegens een misdrijf waartegen een gevangenisstraf van drie jaren of meer is bedreigd, dan wel hem terzake de maatregel, bedoeld in artikel 37a van het Wetboek van Strafrecht, is opgelegd; of d. de vreemdeling een gevaar vormt voor de nationale veiligheid.",DOC2464,,
12,Wanneer kan een verblijfsvergunning voor bepaalde tijd worden verleend aan een asielzoeker?,"Een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28 kan worden verleend aan de vreemdeling: a. die verdragsvluchteling is; of b. die aannemelijk heeft gemaakt dat hij gegronde redenen heeft om aan te nemen dat hij bij uitzetting een reÃ«el risico loopt op ernstige schade, bestaande uit: 1Â°. doodstraf of executie; 2Â°. folteringen, onmenselijke of vernederende behandelingen of bestraffingen; of 3Â°. ernstige en individuele bedreiging van het leven of de persoon van een burger als gevolg van willekeurig geweld in het kader van een internationaal of binnenlands gewapend conflict.",DOC2478,,
13,Wanneer kan een asiel verblijfsvergunning voor bepaalde tijd worden verleend aan de gezinsleden van een asielzoeker?,"Een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28 kan voorts worden verleend aan de hierna te noemen gezinsleden, indien deze op het tijdstip van binnenkomst van de in het eerste lid bedoelde vreemdeling behoorden tot diens gezin en gelijktijdig met die vreemdeling Nederland zijn ingereisd dan wel zijn nagereisd binnen drie maanden nadat aan die vreemdeling de verblijfsvergunning voor bepaalde tijd, bedoeld in artikel 28, is verleend: a. de echtgenoot of het minderjarige kind van de in het eerste lid bedoelde vreemdeling; b. de vreemdeling die als partner of meerderjarig kind van de in het eerste lid bedoelde vreemdeling zodanig afhankelijk is van die vreemdeling, dat hij om die reden behoort tot diens gezin; c. de ouders van de in het eerste lid bedoelde vreemdeling, indien die vreemdeling een alleenstaande minderjarige is in de zin van artikel 2, onder f, van Richtlijn 2003/86/EG van de Raad van 22 september 2003 inzake het recht op gezinshereniging (PbEU 2003, L 251).","DOC2478, DOC2479",,
14,Wanneer kan de aanvraag van een asiel verblijfsvergunning voor bepaalde tijd niet-ontvankelijk worden verklaard?,"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28 kan niet-ontvankelijk worden verklaard in de zin van artikel 33 van de Procedurerichtlijn, indien: a. de vreemdeling in een andere lidstaat van de Europese Unie internationale bescherming geniet; b. de vreemdeling erkend is als vluchteling in een derde land en hij die bescherming nog kan genieten of anderszins voldoende bescherming geniet in dat land, met inbegrip van het beginsel van non-refoulement, en opnieuw tot het grondgebied van dat land wordt toegelaten; c. een derde land voor de vreemdeling als veilig derde land wordt beschouwd; d. de vreemdeling een opvolgende aanvraag heeft ingediend waaraan door de vreemdeling geen nieuwe elementen of bevindingen ten grondslag zijn gelegd of waarin geen nieuwe elementen of bevindingen aan de orde zijn gekomen die relevant kunnen zijn voor de beoordeling van de aanvraag; of e. aan de vreemdeling reeds een verblijfsvergunning is verleend op grond van artikel 29, eerste lid.",DOC2482,,
15,Wanneer kan de aanvraag tot het verlenen van een asiel verblijfsvergunning voor bepaalde tijd afgewezen worden als kennelijk ongegrond in de zin van artikel 32 lid 2?,"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28 kan worden afgewezen als kennelijk ongegrond in de zin van artikel 32, tweede lid, van de Procedurerichtlijn, indien: a. de vreemdeling bij de indiening van zijn aanvraag en de toelichting van de feiten alleen aangelegenheden aan de orde heeft gesteld die niet ter zake doen met betrekking tot de vraag of hij in aanmerking komt voor verlening van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28; b. de vreemdeling afkomstig is uit een veilig land van herkomst in de zin van de artikelen 36 en 37 van de Procedurerichtlijn; c. de vreemdeling Onze Minister heeft misleid door omtrent zijn identiteit of nationaliteit valse informatie of documenten te verstrekken of door relevante informatie of documenten die een negatieve invloed op de beslissing hadden kunnen hebben, achter te houden; d. de vreemdeling waarschijnlijk, te kwader trouw, een identiteits- of reisdocument dat ertoe kon bijdragen dat zijn identiteit of nationaliteit werd vastgesteld, heeft vernietigd of zich daarvan heeft ontdaan; e. de vreemdeling kennelijk inconsequente en tegenstrijdige, kennelijk valse of duidelijk onwaarschijnlijke verklaringen heeft afgelegd die strijdig zijn met voldoende geverifieerde informatie over het land van herkomst, waardoor zijn verklaringen alle overtuigingskracht wordt ontnomen met betrekking tot de vraag of hij in aanmerking komt voor verlening van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28; f. de vreemdeling zijn aanvraag enkel heeft ingediend teneinde zijn uitzetting of overdracht uit te stellen of te verijdelen; g. de vreemdeling een opvolgende aanvraag heeft ingediend en deze niet overeenkomstig artikel 30a, eerste lid, onderdeel d of e, niet-ontvankelijk is verklaard; h. de vreemdeling Nederland onrechtmatig is binnengekomen of zijn verblijf op onrechtmatige wijze heeft verlengd en zich, gezien de omstandigheden van zijn binnenkomst, zonder gegronde reden niet zo snel mogelijk bij een ambtenaar belast met de grensbewaking of het toezicht op vreemdelingen heeft aangemeld, en daar kenbaar heeft gemaakt dat hij internationale bescherming wenst; i. de vreemdeling weigert te voldoen aan de verplichting zijn vingerafdrukken te laten nemen; j. de vreemdeling op ernstige gronden een gevaar vormt voor de openbare orde of nationale veiligheid; of k. de vreemdeling onder dwang is uitgezet om ernstige redenen van openbare veiligheid of openbare orde.","DOC2484, DOC2485, DOC2486",,
16,Wanneer kan een asiel verblijfsvergunning voor bepaalde tijd buiten behandeling worden gesteld?,"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28 kan buiten behandeling worden gesteld in de zin van artikel 28 van de Procedurerichtlijn, indien: a. de vreemdeling heeft nagelaten te antwoorden op verzoeken om informatie te verstrekken die van wezenlijk belang is voor zijn aanvraag; b. de vreemdeling niet is verschenen bij een gehoor en hij niet binnen een termijn van twee weken heeft aangetoond dat dit niet aan hem is toe te rekenen; of c. de vreemdeling is verdwenen of zonder toestemming van Onze Minister is vertrokken en hierover toerekenbaar niet binnen een termijn van twee weken contact heeft opgenomen met de bevoegde autoriteiten.",DOC2487,,
17,Wanneer kan een asiel verblijfsvergunning voor bepaalde tijd worden ingetrokken dan wel de aanvraag voor verlenging van de geldigheidsduur ervan worden afgewezen?,"De verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28 kan worden ingetrokken dan wel de aanvraag voor verlenging van de geldigheidsduur ervan kan worden afgewezen indien: a. de vreemdeling onjuiste gegevens heeft verstrekt dan wel gegevens heeft achtergehouden terwijl die gegevens tot afwijzing van de oorspronkelijke aanvraag tot het verlenen of verlengen zouden hebben geleid; b. de vreemdeling een gevaar vormt voor de openbare orde of nationale veiligheid; c. de grond voor verlening, bedoeld in artikel 29, is komen te vervallen; d. de vreemdeling zijn hoofdverblijf buiten Nederland heeft gevestigd; e. het een vergunning betreft die is verleend aan een gezinslid als bedoeld in artikel 29, tweede lid, en dat gezinslid niet of niet langer een werkelijk huwelijks- of gezinsleven onderhoudt met de vreemdeling, bedoeld in het artikel 29, eerste lid.",DOC2495,,
18,Wanneer kan een asiel verblijfsvergunning voor onbepaalde tijd worden ingetrokken?,"De verblijfsvergunning voor onbepaalde tijd als bedoeld in artikel 33 kan worden ingetrokken indien: a. de vreemdeling onjuiste gegevens heeft verstrekt dan wel gegevens heeft achtergehouden terwijl die gegevens tot afwijzing van de aanvraag tot het verlenen of verlengen zouden hebben geleid; b. de vreemdeling bij onherroepelijk geworden rechterlijk vonnis is veroordeeld wegens een misdrijf waartegen een gevangenisstraf van drie jaren of meer is bedreigd, dan wel hem terzake de maatregel, bedoeld in artikel 37a van het Wetboek van Strafrecht, is opgelegd; c. de vreemdeling zijn hoofdverblijf buiten Nederland heeft gevestigd; d. de vreemdeling een gevaar vormt voor de nationale veiligheid.",DOC2501,,
19,Wanneer wordt de aanvraag van een EU-verblijfsvergunning voor een langdurig ingezetenen afgewezen?,"De aanvraag tot het verlenen van een EU-verblijfsvergunning voor langdurig ingezetenen wordt afgewezen, indien de vreemdeling direct voorafgaande aan de aanvraag: a. een verblijfsrecht van tijdelijke aard heeft op grond van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14; b. een formeel beperkt verblijfsrecht heeft; c. verblijf heeft op grond van een bijzondere geprivilegieerde status; d. verblijf heeft op grond van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28, die niet is verleend op grond van artikel 29, eerste lid, onder a of b; e. verblijf heeft op grond van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28, die is verleend op grond van artikel 29, tweede lid, bij een vreemdeling die in het bezit is van een verblijfsvergunning als bedoeld in artikel 28, die niet is verleend op grond van artikel 29, eerste lid, onder a of b.",DOC2525,,
20,Wanneer kan een EU-verblijfsvergunning voor langdurig ingezetenen worden ingetrokken?,"De EU-verblijfsvergunning voor langdurig ingezetenen kan worden ingetrokken, indien: a. de vreemdeling een aaneengesloten periode van twaalf maanden of langer buiten het grondgebied van de Europese Unie, dan wel zes jaar of langer buiten Nederland heeft verbleven; of b. de vreemdeling een actuele en ernstige bedreiging voor de openbare orde of de nationale veiligheid vormt.",DOC2530,,
21,Wanneer kan een vreemdeling met rechtmatig verblijf in bewaring worden gesteld door de minister?,"De vreemdeling die rechtmatig verblijf heeft op grond van artikel 8, onder f, g of h, voor zover dit betrekking heeft op een aanvraag tot het verlenen van een verblijfsvergunning als bedoeld in artikel 28, kan door Onze Minister in bewaring worden gesteld, indien: a. bewaring noodzakelijk is met het oog op vaststelling van de identiteit of nationaliteit van de vreemdeling; b. bewaring noodzakelijk is met het oog op het verkrijgen van gegevens die noodzakelijk zijn voor beoordeling van een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 28, met name indien er sprake is van een risico op onttrekking; c. de vreemdeling: 1Â°. in bewaring werd gehouden in het kader van een terugkeerprocedure uit hoofde van de Terugkeerrichtlijn; 2Â°. reeds de mogelijkheid van toegang tot de asielprocedure heeft gehad; en 3Â°. op redelijke gronden aangenomen kan worden dat hij de aanvraag louter heeft ingediend om de uitvoering van het terugkeerbesluit uit te stellen of te verijdelen; of d. de vreemdeling een gevaar vormt voor de nationale veiligheid of openbare orde als bedoeld in artikel 8, derde lid, onderdeel e, van de Opvangrichtlijn.","DOC2568, DOC2569",,
22,Wanneer kan de ongewenstverklaring opgeheven worden?,"De ongewenstverklaring wordt opgeheven indien de vreemdeling tien jaren onafgebroken buiten Nederland verblijf heeft gehad en zich in die periode geen van de gronden, bedoeld in artikel 67, eerste lid, hebben voorgedaan.",DOC2594,,
23,Wanneer oefent een regent het koninklijk gezag uit?,Het koninklijk gezag wordt uitgeoefend door een regent: a. zolang de Koning de leeftijd van achttien jaar niet heeft bereikt; b. indien een nog niet geboren kind tot het koningschap geroepen kan zijn; c. indien de Koning buiten staat is verklaard het koninklijk gezag uit te oefenen; d. indien de Koning de uitoefening van het koninklijk gezag tijdelijk heeft neergelegd; e. zolang na het overlijden van de Koning of na diens afstand van het koningschap een opvolger ontbreekt.,DOC1536,,
24,Wanneer heeft een werknemer geen recht op een uitkering voor werkloosheid?,"Geen recht op uitkering heeft de werknemer die: a. een uitkering ontvangt op grond van de Ziektewet of een uitkering die naar aard en strekking daarmee overeenkomt; b. een arbeidsongeschiktheidsuitkering dan wel een loongerelateerde uitkering van de werkhervattingsuitkering gedeeltelijk arbeidsgeschikten ontvangt op grond van de Wet werk en inkomen naar arbeidsvermogen; c. een uitkering ontvangt op grond van de Wet op de arbeidsongeschiktheidsverzekering, berekend naar een arbeidsongeschiktheid van ten minste 80%, of een uitkering ontvangt die naar aard en strekking met die uitkering overeenkomt; d. een uitkering ontvangt op grond van hoofdstuk III van de Wet arbeidsongeschiktheidsvoorziening militairen, berekend naar een arbeidsongeschiktheid van ten minste 80%, of een toelage op grond van dat hoofdstuk, die, al dan niet vermeerderd met de arbeidsongeschiktheidsuitkering, 70% of meer bedraagt van het dagloon waarnaar de arbeidsongeschiktheidsuitkering is of zou zijn berekend; e. buiten Nederland woont of verblijf houdt anders dan wegens vakantie; f. niet rechtmatig in Nederland verblijf houdt als bedoeld in artikel 8 van de Vreemdelingenwet 2000; g. rechtens zijn vrijheid is ontnomen; h. zich onttrekt aan de tenuitvoerlegging van een vrijheidsstraf of vrijheidsbenemende maatregel; i. de pensioengerechtigde leeftijd heeft bereikt; j. op grond van artikel 64 van de Wet financiering sociale verzekeringen een ontheffing wegens gemoedsbezwaren heeft of wiens werkloosheid binnen 3 maanden na de datum van intrekking van een zodanige ontheffing is aangevangen; k. vakantie geniet buiten de bij ministeriÃ«le regeling vast te stellen periode, bedoeld in het negende lid, onderdeel b; l. werkloos is ten gevolge van werkstaking of uitsluiting, tenzij voor de werknemer een ontheffing is verleend op grond van artikel 8, derde lid, van het Buitengewoon Besluit Arbeidsverhoudingen 1945; m. een uitkering ontvangt op grond van de Wet arbeid en zorg; n. een uitreiziger is.","DOC2743, DOC2744",,
25,Wanneer eindigt het UWV de vrijwillige werkloosheidsverzekering?,"Het UWV beÃ«indigt de vrijwillige werkloosheidsverzekering: a. op verzoek van de vrijwillig verzekerde met ingang van een door hem te bepalen datum; b. met ingang van de dag, waarop de termijn van vijf jaar, bedoeld in artikel 53, eerste lid, onderdeel a, is verstreken; c. met ingang van de dag, waarop de werkzaamheden bedoeld in artikel 53, eerste en tweede lid worden beÃ«indigd; d. met ingang van de dag waarop de vrijwillig verzekerde verplicht verzekerd wordt ingevolge deze wet; e. indien de verschuldigde premie over een periode van twee volle kalendermaanden niet, niet volledig of niet-tijdig is betaald; of f. indien niet langer wordt voldaan aan andere vereisten voor toelating tot de vrijwillige verzekering, bedoeld in artikel 53, eerste lid.",DOC2860,,
26,Wanneer is een zorgverzekeraar niet verplicht om een zorgverzekering af te sluiten met een verzekeringsplichtige?,"In afwijking van het eerste lid is een zorgverzekeraar niet verplicht een zorgverzekering te sluiten met of ten behoeve van een verzekeringsplichtige: a. die reeds krachtens een zorgverzekering verzekerd is, of b. wiens eerdere zorgverzekering hij of de verzekeringnemer binnen een periode van vijf jaar, gelegen onmiddellijk voorafgaande aan het verzoek tot het sluiten van de verzekering, heeft opgezegd of ontbonden wegens: 1Â°. opzettelijke misleiding door de verzekeringnemer of de verzekerde, of 2Â°. het niet betalen van de premie, bedoeld in artikel 17, vijfde lid.","DOC4398, DOC4399",,
27,Wanneer eindigt een zorgverzekering?,"De zorgverzekering eindigt van rechtswege met ingang van de dag volgende op de dag waarop: a. de verzekeraar ten gevolge van wijziging of intrekking van zijn vergunning tot uitoefening van het schadeverzekeringsbedrijf, geen zorgverzekeringen meer mag aanbieden; b. de verzekerde ten gevolge van wijziging van het werkgebied buiten het werkgebied van de zorgverzekeraar komt te wonen; c. de verzekerde overlijdt; d. de verzekeringsplicht van de verzekerde eindigt.",DOC4407,,
28,Wanneer eindigt een inschrijving in het persoonsregister kinderopvang?,"Inschrijving in het personenregister kinderopvang eindigt: a. uiterlijk binnen twee weken volgend op de dag waarop de ingeschrevene een verzoek tot beÃ«indiging indient en zonder koppeling als bedoeld in het derde lid staat ingeschreven; b. uiterlijk binnen twee weken volgend op de dag waarop de ingeschrevene een verzoek tot beÃ«indiging indient, zonder koppeling als bedoeld in het derde lid staat ingeschreven en het college het besluit tot verwijdering van alle inschrijvingen van de ingeschrevene, bedoeld in artikel 1.47, heeft genomen; c. uiterlijk binnen twee weken volgend op de dag waarop de ingeschrevene een verzoek tot beÃ«indiging indient, zonder koppeling als bedoeld in het derde lid staat ingeschreven en niet meer op hetzelfde woonadres als een houder van de voorziening voor gastouderopvang â€“ voor zover dit tevens de opvanglocatie is â€“ zijn hoofdverblijf heeft of niet meer zijn hoofdverblijf heeft op het adres waar een kindercentrum is gevestigd; d. uiterlijk vier maanden nadat de ingeschrevene zonder koppeling als bedoeld in het derde lid in het personenregister kinderopvang is opgenomen; e. uiterlijk vier maanden na het verzoek tot het overleggen van een nieuwe verklaring omtrent het gedrag vanwege de ontvangst van een melding van nieuwe gegevens in de justitiÃ«le documentatie of vanwege de omstandigheid, bedoeld in artikel 1.50, vijfde tot en met zevende lid, en artikel 1.56b, vierde en vijfde lid en de ingeschrevene geen nieuwe verklaring omtrent het gedrag heeft overgelegd; f. uiterlijk binnen twee weken na kennisgeving van het overlijden van de ingeschrevene.","DOC3105, DOC3106",,
29,Wanneer kan een vergunning voor het bereiden of invoeren van geneesmiddelen worden ingetrokken?,"Een vergunning kan worden ingetrokken indien: a. de houder van de vergunning een bij of krachtens dit hoofdstuk gestelde verplichting of een aan de vergunning verbonden voorschrift of beperking niet naleeft; b. degene aan wie de vergunning is verleend, naar het oordeel van Onze Minister is opgehouden de werkzaamheden te verrichten waarvoor de vergunning was verleend.",DOC1300,,
30,Wanneer vervalt een vergunning voor het bereiden of invoeren van geneesmiddelen?,"Een vergunning vervalt indien: a. de rechtspersoon aan wie de vergunning is verleend, wordt ontbonden, fuseert en niet de verkrijgende rechtspersoon is, of wordt gesplitst; b. degene aan wie de vergunning is verleend, Onze Minister schriftelijk heeft bericht dat hij is opgehouden de werkzaamheden te verrichten waarvoor de vergunning is verleend.",DOC1299,,
31,Wanneer is een aanvrager niet gehouden preklinische en klinische gegevens over te leggen indien de aanvraag betrekking heeft op homeopathische geneesmiddelen?,"De aanvrager is niet gehouden preklinische en klinische gegevens over te leggen indien de aanvraag betrekking heeft op homeopathische geneesmiddelen die voldoen aan de volgende voorwaarden: a. het middel is voor oraal of uitwendig gebruik bestemd, b. noch in of op de verpakking ervan noch in de bijsluiter wordt melding gemaakt van enige therapeutische indicatie, en c. de verdunningsgraad is zodanig dat het middel gegarandeerd onschadelijk is en in elk geval niet meer bevat dan Ã©Ã©n deel per 10 000 van de oertinctuur dan wel Ã©Ã©n honderdste van de kleinste in de allopathische geneeskunde gebruikte dosis werkzame stoffen die in een UR-geneesmiddel aanwezig is.","DOC1339, DOC1340",,
