law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel14,,,,,,Artikel 14,,"Onteigening kan alleen geschieden in het algemeen belang en tegen vooraf verzekerde schadeloosstelling, een en ander naar bij of krachtens de wet te stellen voorschriften. De schadeloosstelling behoeft niet vooraf verzekerd te zijn, wanneer in geval van nood onverwijld onteigening geboden is. In de gevallen bij of krachtens de wet bepaald bestaat recht op schadeloosstelling of tegemoetkoming in de schade, indien in het algemeen belang eigendom door het bevoegd gezag wordt vernietigd of onbruikbaar gemaakt of de uitoefening van het eigendomsrecht wordt beperkt."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel15,,,,,,Artikel 15,,"Buiten de gevallen bij of krachtens de wet bepaald mag niemand zijn vrijheid worden ontnomen. Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen, kan aan de rechter zijn invrijheidstelling verzoeken. Hij wordt in dat geval door de rechter gehoord binnen een bij de wet te bepalen termijn. De rechter gelast de onmiddellijke invrijheidstelling, indien hij de vrijheidsontneming onrechtmatig oordeelt. De berechting van hem aan wie met het oog daarop zijn vrijheid is ontnomen, vindt binnen een redelijke termijn plaats. Hij aan wie rechtmatig zijn vrijheid is ontnomen, kan worden beperkt in de uitoefening van grondrechten voor zover deze zich niet met de vrijheidsontneming verdraagt."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel16,,,,,,Artikel 16,,Geen feit is strafbaar dan uit kracht van een daaraan voorafgegane wettelijke strafbepaling.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel17,,,,,,Artikel 17,,Ieder heeft bij het vaststellen van zijn rechten en verplichtingen of bij het bepalen van de gegrondheid van een tegen hem ingestelde vervolging recht op een eerlijk proces binnen een redelijke termijn voor een onafhankelijke en onpartijdige rechter. Niemand kan tegen zijn wil worden afgehouden van de rechter die de wet hem toekent.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel18,,,,,,Artikel 18,,Ieder kan zich in rechte en in administratief beroep doen bijstaan. De wet stelt regels omtrent het verlenen van rechtsbijstand aan minder draagkrachtigen.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel19,,,,,,Artikel 19,,"Bevordering van voldoende werkgelegenheid is voorwerp van zorg der overheid. De wet stelt regels omtrent de rechtspositie van hen die arbeid verrichten en omtrent hun bescherming daarbij, alsmede omtrent medezeggenschap. Het recht van iedere Nederlander op vrije keuze van arbeid wordt erkend, behoudens de beperkingen bij of krachtens de wet gesteld."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel20,,,,,,Artikel 20,,"De bestaanszekerheid der bevolking en spreiding van welvaart zijn voorwerp van zorg der overheid. De wet stelt regels omtrent de aanspraken op sociale zekerheid. Nederlanders hier te lande, die niet in het bestaan kunnen voorzien, hebben een bij de wet te regelen recht op bijstand van overheidswege."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel21,,,,,,Artikel 21,,De zorg van de overheid is gericht op de bewoonbaarheid van het land en de bescherming en verbetering van het leefmilieu.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel22,,,,,,Artikel 22,,De overheid treft maatregelen ter bevordering van de volksgezondheid. Bevordering van voldoende woongelegenheid is voorwerp van zorg der overheid. Zij schept voorwaarden voor maatschappelijke en culturele ontplooiing en voor vrijetijdsbesteding.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel23,,,,,,Artikel 23,,"Het onderwijs is een voorwerp van de aanhoudende zorg der regering. Het geven van onderwijs is vrij, behoudens het toezicht van de overheid en, voor wat bij de wet aangewezen vormen van onderwijs betreft, het onderzoek naar de bekwaamheid en de zedelijkheid van hen die onderwijs geven, een en ander bij de wet te regelen. Het openbaar onderwijs wordt, met eerbiediging van ieders godsdienst of levensovertuiging, bij de wet geregeld. In elke gemeente en in elk van de openbare lichamen, bedoeld in artikel 132a, wordt van overheidswege voldoend openbaar algemeen vormend lager onderwijs gegeven in een genoegzaam aantal openbare scholen. Volgens bij de wet te stellen regels kan afwijking van deze bepaling worden toegelaten, mits tot het ontvangen van zodanig onderwijs gelegenheid wordt gegeven, al dan niet in een openbare school. De eisen van deugdelijkheid, aan het geheel of ten dele uit de openbare kas te bekostigen onderwijs te stellen, worden bij de wet geregeld, met inachtneming, voor zover het bijzonder onderwijs betreft, van de vrijheid van richting. Deze eisen worden voor het algemeen vormend lager onderwijs zodanig geregeld, dat de deugdelijkheid van het geheel uit de openbare kas bekostigd bijzonder onderwijs en van het openbaar onderwijs even afdoende wordt gewaarborgd. Bij die regeling wordt met name de vrijheid van het bijzonder onderwijs betreffende de keuze der leermiddelen en de aanstelling der onderwijzers geëerbiedigd. Het bijzonder algemeen vormend lager onderwijs, dat aan de bij de wet te stellen voorwaarden voldoet, wordt naar dezelfde maatstaf als het openbaar onderwijs uit de openbare kas bekostigd. De wet stelt de voorwaarden vast, waarop voor het bijzonder algemeen vormend middelbaar en voorbereidend hoger onderwijs bijdragen uit de openbare kas worden verleend. De regering doet jaarlijks van de staat van het onderwijs verslag aan de Staten-Generaal."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel24,Koning,,,Artikel 24,,"Het koningschap wordt erfelijk vervuld door de wettige opvolgers van Koning Willem I, Prins van Oranje-Nassau."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel25,Koning,,,Artikel 25,,"Het koningschap gaat bij overlijden van de Koning krachtens erfopvolging over op zijn wettige nakomelingen, waarbij het oudste kind voorrang heeft, met plaatsvervulling volgens dezelfde regel. Bij gebreke van eigen nakomelingen gaat het koningschap op gelijke wijze over op de wettige nakomelingen eerst van zijn ouder, dan van zijn grootouder, in de lijn van erfopvolging, voor zover de overleden Koning niet verder bestaand dan in de derde graad van bloedverwantschap."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel26,Koning,,,Artikel 26,,"Het kind, waarvan een vrouw zwanger is op het ogenblik van het overlijden van de Koning, wordt voor de erfopvolging als reeds geboren aangemerkt. Komt het dood ter wereld, dan wordt het geacht nooit te hebben bestaan."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel27,Koning,,,Artikel 27,,Afstand van het koningschap leidt tot erfopvolging overeenkomstig de regels in de voorgaande artikelen gesteld. Na de afstand geboren kinderen en hun nakomelingen zijn van de erfopvolging uitgesloten.
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel28,Koning,,,Artikel 28,,"De Koning, een huwelijk aangaande buiten bij de wet verleende toestemming, doet daardoor afstand van het koningschap. Gaat iemand die het koningschap van de Koning kan beërven een zodanig huwelijk aan, dan is hij met de uit dit huwelijk geboren kinderen en hun nakomelingen van de erfopvolging uitgesloten. De Staten-Generaal beraadslagen en besluiten ter zake van een voorstel van wet, strekkende tot het verlenen van toestemming, in verenigde vergadering."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel29,Koning,,,Artikel 29,,"Wanneer uitzonderlijke omstandigheden daartoe nopen, kunnen bij een wet een of meer personen van de erfopvolging worden uitgesloten. Het voorstel daartoe wordt door of vanwege de Koning ingediend. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering. Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel30,Koning,,,Artikel 30,,"Wanneer vooruitzicht bestaat dat een opvolger zal ontbreken, kan deze worden benoemd bij een wet. Het voorstel wordt door of vanwege de Koning ingediend. Na de indiening van het voorstel worden de kamers ontbonden. De nieuwe kamers beraadslagen en besluiten ter zake in verenigde vergadering. Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen. Indien bij overlijden van de Koning of bij afstand van het koningschap een opvolger ontbreekt, worden de kamers ontbonden. De nieuwe kamers komen binnen vier maanden na het overlijden of de afstand in verenigde vergadering bijeen ten einde te besluiten omtrent de benoeming van een Koning. Zij kunnen een opvolger alleen benoemen met ten minste twee derden van het aantal uitgebrachte stemmen."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel31,Koning,,,Artikel 31,,"Een benoemde Koning kan krachtens erfopvolging alleen worden opgevolgd door zijn wettige nakomelingen. De bepalingen omtrent de erfopvolging en het eerste lid van dit artikel zijn van overeenkomstige toepassing op een benoemde opvolger, zolang deze nog geen Koning is."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel32,Koning,,,Artikel 32,,"Nadat de Koning de uitoefening van het koninklijk gezag heeft aangevangen, wordt hij zodra mogelijk beëdigd en ingehuldigd in de hoofdstad Amsterdam in een openbare verenigde vergadering van de Staten-Generaal. Hij zweert of belooft trouw aan de Grondwet en een getrouwe vervulling van zijn ambt. De wet stelt nadere regels vast."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel33,Koning,,,Artikel 33,,"De Koning oefent het koninklijk gezag eerst uit, nadat hij de leeftijd van achttien jaar heeft bereikt."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel34,Koning,,,Artikel 34,,De wet regelt het ouderlijk gezag en de voogdij over de minderjarige Koning en het toezicht daarop. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering.
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel35,Koning,,,Artikel 35,,"Wanneer de ministerraad van oordeel is dat de Koning buiten staat is het koninklijk gezag uit te oefenen, bericht hij dit onder overlegging van het daartoe gevraagde advies van de Raad van State aan de Staten-Generaal, die daarop in verenigde vergadering bijeenkomen. Delen de Staten-Generaal dit oordeel, dan verklaren zij dat de Koning buiten staat is het koninklijk gezag uit te oefenen. Deze verklaring wordt bekend gemaakt op last van de voorzitter der vergadering en treedt terstond in werking. Zodra de Koning weer in staat is het koninklijk gezag uit te oefenen, wordt dit bij de wet verklaard. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering. Terstond na de bekendmaking van deze wet hervat de Koning de uitoefening van het koninklijk gezag. De wet regelt zo nodig het toezicht over de persoon van de Koning indien hij buiten staat is verklaard het koninklijk gezag uit te oefenen. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel36,Koning,,,Artikel 36,,"De Koning kan de uitoefening van het koninklijk gezag tijdelijk neerleggen en die uitoefening hervatten krachtens een wet, waarvan het voorstel door of vanwege hem wordt ingediend. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel37,Koning,,,Artikel 37,,"Het koninklijk gezag wordt uitgeoefend door een regent: zolang de Koning de leeftijd van achttien jaar niet heeft bereikt; indien een nog niet geboren kind tot het koningschap geroepen kan zijn; indien de Koning buiten staat is verklaard het koninklijk gezag uit te oefenen; indien de Koning de uitoefening van het koninklijk gezag tijdelijk heeft neergelegd; zolang na het overlijden van de Koning of na diens afstand van het koningschap een opvolger ontbreekt.  De regent wordt benoemd bij de wet. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering. In de gevallen, genoemd in het eerste lid onder c en d, is de nakomeling van de Koning die zijn vermoedelijke opvolger is, van rechtswege regent indien hij de leeftijd van achttien jaar heeft bereikt. De regent zweert of belooft trouw aan de Grondwet en een getrouwe vervulling van zijn ambt, in een verenigde vergadering van de Staten-Generaal. De wet geeft nadere regels omtrent het regentschap en kan voorzien in de opvolging en de vervanging daarin. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering. Op de regent zijn de artikelen 35 en 36 van overeenkomstige toepassing."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel38,Koning,,,Artikel 38,,"Zolang niet in de uitoefening van het koninklijk gezag is voorzien, wordt dit uitgeoefend door de Raad van State."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel39,Koning,,,Artikel 39,,"De wet regelt, wie lid is van het koninklijk huis."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel40,Koning,,,Artikel 40,,"De Koning ontvangt jaarlijks ten laste van het Rijk uitkeringen naar regels bij de wet te stellen. Deze wet bepaalt aan welke andere leden van het koninklijk huis uitkeringen ten laste van het Rijk worden toegekend en regelt deze uitkeringen. De door hen ontvangen uitkeringen ten laste van het Rijk, alsmede de vermogensbestanddelen welke dienstbaar zijn aan de uitoefening van hun functie, zijn vrij van persoonlijke belastingen. Voorts is hetgeen de Koning of zijn vermoedelijke opvolger krachtens erfrecht of door schenking verkrijgt van een lid van het koninklijk huis vrij van de rechten van successie, overgang en schenking. Verdere vrijdom van belasting kan bij de wet worden verleend. De kamers der Staten-Generaal kunnen voorstellen van in de vorige leden bedoelde wetten alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf1,,Artikel41,Koning,,,Artikel 41,,"De Koning richt, met inachtneming van het openbaar belang, zijn Huis in."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel42,Koning en ministers,,,Artikel 42,,De regering wordt gevormd door de Koning en de ministers. De Koning is onschendbaar; de ministers zijn verantwoordelijk.
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel43,Koning en ministers,,,Artikel 43,,De minister-president en de overige ministers worden bij koninklijk besluit benoemd en ontslagen.
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel44,Koning en ministers,,,Artikel 44,,Bij koninklijk besluit worden ministeries ingesteld. Zij staan onder leiding van een minister. Ook kunnen ministers worden benoemd die niet belast zijn met de leiding van een ministerie.
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel45,Koning en ministers,,,Artikel 45,,De ministers vormen te zamen de ministerraad. De minister-president is voorzitter van de ministerraad. De ministerraad beraadslaagt en besluit over het algemeen regeringsbeleid en bevordert de eenheid van dat beleid.
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel46,Koning en ministers,,,Artikel 46,,"Bij koninklijk besluit kunnen staatssecretarissen worden benoemd en ontslagen. Een staatssecretaris treedt in de gevallen waarin de minister het nodig acht en met inachtneming van diens aanwijzingen, in zijn plaats als minister op. De staatssecretaris is uit dien hoofde verantwoordelijk, onverminderd de verantwoordelijkheid van de minister."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel47,Koning en ministers,,,Artikel 47,,Alle wetten en koninklijke besluiten worden door de Koning en door een of meer ministers of staatssecretarissen ondertekend.
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel48,Koning en ministers,,,Artikel 48,,"Het koninklijk besluit waarbij de minister-president wordt benoemd, wordt mede door hem ondertekend. De koninklijke besluiten waarbij de overige ministers en de staatssecretarissen worden benoemd of ontslagen, worden mede door de minister-president ondertekend."
BWBR0001840,Grondwet,Hoofdstuk2,Regering,Paragraaf2,,Artikel49,Koning en ministers,,,Artikel 49,,"Op de wijze bij de wet voorgeschreven leggen de ministers en de staatssecretarissen bij de aanvaarding van hun ambt ten overstaan van de Koning een eed, dan wel verklaring en belofte, van zuivering af en zweren of beloven zij trouw aan de Grondwet en een getrouwe vervulling van hun ambt."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel50,Inrichting en samenstelling,,,Artikel 50,,De Staten-Generaal vertegenwoordigen het gehele Nederlandse volk.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel51,Inrichting en samenstelling,,,Artikel 51,,De Staten-Generaal bestaan uit de Tweede Kamer en de Eerste Kamer. De Tweede Kamer bestaat uit honderdvijftig leden. De Eerste Kamer bestaat uit vijfenzeventig leden. Bij een verenigde vergadering worden de kamers als één beschouwd.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel52,Inrichting en samenstelling,,,Artikel 52,,"De zittingsduur van beide kamers is vier jaren. Indien voor de provinciale staten bij de wet een andere zittingsduur dan vier jaren wordt vastgesteld, wordt daarbij de zittingsduur van de Eerste Kamer in overeenkomstige zin gewijzigd."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel53,Inrichting en samenstelling,,,Artikel 53,,De leden van beide kamers worden gekozen op de grondslag van evenredige vertegenwoordiging binnen door de wet te stellen grenzen. De verkiezingen worden gehouden bij geheime stemming.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel54,Inrichting en samenstelling,,,Artikel 54,,"De leden van de Tweede Kamer worden rechtstreeks gekozen door de Nederlanders die de leeftijd van achttien jaar hebben bereikt, behoudens bij de wet te bepalen uitzonderingen ten aanzien van Nederlanders die geen ingezetenen zijn. Van het kiesrecht is uitgesloten hij die wegens het begaan van een daartoe bij de wet aangewezen delict bij onherroepelijke rechterlijke uitspraak is veroordeeld tot een vrijheidsstraf van ten minste een jaar en hierbij tevens is ontzet van het kiesrecht."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel55,Inrichting en samenstelling,,,Artikel 55,,"De leden van de Eerste Kamer worden gekozen door de leden van provinciale staten en de leden van de kiescolleges, bedoeld in het tweede lid en artikel 132a, derde lid. De verkiezing wordt, behoudens in geval van ontbinding der kamer, gehouden binnen drie maanden na de verkiezing van de leden van provinciale staten. Ten behoeve van Nederlanders die geen ingezetenen zijn en die voldoen aan de vereisten die gelden voor de verkiezing van de Tweede Kamer der Staten-Generaal, worden verkiezingen gehouden voor een kiescollege voor de Eerste Kamer. De leden van dit kiescollege worden rechtstreeks gekozen door deze Nederlanders. Voor het lidmaatschap gelden dezelfde vereisten. Artikel 129, tweede tot en met zesde lid, is van overeenkomstige toepassing."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel56,Inrichting en samenstelling,,,Artikel 56,,"Om lid van de Staten-Generaal te kunnen zijn is vereist dat men Nederlander is, de leeftijd van achttien jaar heeft bereikt en niet is uitgesloten van het kiesrecht."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel57,Inrichting en samenstelling,,,Artikel 57,,"Niemand kan lid van beide kamers zijn. Een lid van de Staten-Generaal kan niet tevens zijn minister, staatssecretaris, lid van de Raad van State, lid van de Algemene Rekenkamer, Nationale ombudsman of substituut-ombudsman, of lid van of procureur-generaal of advocaat-generaal bij de Hoge Raad. Niettemin kan een minister of staatssecretaris, die zijn ambt ter beschikking heeft gesteld, dit ambt verenigen met het lidmaatschap van de Staten-Generaal, totdat omtrent die beschikbaarstelling is beslist. De wet kan ten aanzien van andere openbare betrekkingen bepalen dat zij niet gelijktijdig met het lidmaatschap van de Staten-Generaal of van een der kamers kunnen worden uitgeoefend."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel57a,Inrichting en samenstelling,,,Artikel 57a,,"De wet regelt de tijdelijke vervanging van een lid van de Staten-Generaal wegens zwangerschap en bevalling, alsmede wegens ziekte."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel58,Inrichting en samenstelling,,,Artikel 58,,Elke kamer onderzoekt de geloofsbrieven van haar nieuwbenoemde leden en beslist met inachtneming van bij de wet te stellen regels de geschillen welke met betrekking tot de geloofsbrieven of de verkiezing zelf rijzen.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel59,Inrichting en samenstelling,,,Artikel 59,,"Alles, wat verder het kiesrecht en de verkiezingen betreft, wordt bij de wet geregeld."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel60,Inrichting en samenstelling,,,Artikel 60,,"Op de wijze bij de wet voorgeschreven leggen de leden van de kamers bij de aanvaarding van hun ambt in de vergadering een eed, dan wel verklaring en belofte, van zuivering af en zweren of beloven zij trouw aan de Grondwet en een getrouwe vervulling van hun ambt."
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel61,Inrichting en samenstelling,,,Artikel 61,,Elk der kamers benoemt uit de leden een voorzitter. Elk der kamers benoemt een griffier. Deze en de overige ambtenaren van de kamers kunnen niet tevens lid van de Staten-Generaal zijn.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel62,Inrichting en samenstelling,,,Artikel 62,,De voorzitter van de Eerste Kamer heeft de leiding van de verenigde vergadering.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel63,Inrichting en samenstelling,,,Artikel 63,,Geldelijke voorzieningen ten behoeve van leden en gewezen leden van de Staten-Generaal en van hun nabestaanden worden bij de wet geregeld. De kamers kunnen een voorstel van wet ter zake alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf1,,Artikel64,Inrichting en samenstelling,,,Artikel 64,,Elk der kamers kan bij koninklijk besluit worden ontbonden. Het besluit tot ontbinding houdt tevens de last in tot een nieuwe verkiezing voor de ontbonden kamer en tot het samenkomen van de nieuw gekozen kamer binnen drie maanden. De ontbinding gaat in op de dag waarop de nieuw gekozen kamer samenkomt. De wet stelt de zittingsduur van een na ontbinding optredende Tweede Kamer vast; de termijn mag niet langer zijn dan vijf jaren. De zittingsduur van een na ontbinding optredende Eerste Kamer eindigt op het tijdstip waarop de zittingsduur van de ontbonden kamer zou zijn geëindigd.
BWBR0001840,Grondwet,Hoofdstuk3,Staten-Generaal,Paragraaf2,,Artikel65,Werkwijze,,,Artikel 65,,Jaarlijks op de derde dinsdag van september of op een bij de wet te bepalen eerder tijdstip wordt door of namens de Koning in een verenigde vergadering van de Staten-Generaal een uiteenzetting van het door de regering te voeren beleid gegeven.
