DOC_ID,law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
DOC0014,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"het eerste kind. indien een kind door adoptie in familierechtelijke betrekking komt te staan tot zijn adoptanten kan in afwijking van het voorgaande steeds worden gekozen voor de oorspronkelijke geslachtsnaam van het kind of een combinatie van de oorspronkelijke geslachtsnaam met de geslachtsnaam van een der adoptanten, waarbij alle kinderen van die adoptanten met een combinatie van geslachtsnamen tenminste een zelfde geslachtsnaam van de adoptant hebben en alle kinderen die niet door adoptie in familierechtelijke betrekking tot de ouders komen te staan dezelfde geslachtsnaam of gecombineerde geslachtsnaam hebben. de gekozen oorspronkelijke geslachtsnaam van het kind werkt niet door voor volgende kinderen van die adoptanten. indien voor de geboorte of ter gelegenheid van de aangifte naamskeuze is gedaan ten aanzien van een kind dat levenloos ter wereld komt of is gekomen, wordt deze keuze opgenomen in de akte, bedoeld in artikel 19i, eerste lid, en geldt zij alleen ten aanzien van"
DOC0015,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"dit kind. is één van de ouders voorafgaand aan het tijdstip waarop de naamskeuze uiterlijk moet zijn gedaan overleden en is de naamskeuze niet gedaan, dan legt de andere ouder een verklaring omtrent de naamskeuze af. hetzelfde geldt indien één van de ouders wegens diens lichamelijke of geestelijke toestand onder curatele staat dan wel indien ten aanzien van hem of haar een mentorschap bestaat. zijn de vader en moeder onbekend, dan neemt de ambtenaar van de burgerlijke stand in de geboorteakte een voorlopige voornaam en geslachtsnaam op, in afwachting van het koninklijk besluit waarbij de voornamen en de geslachtsnaam van het kind worden vastgesteld. indien op grond van het tweede tot en met negende lid een kind, wiens vader van adel is, niet zijn geslachtsnaam verkrijgt, gaat de adeldom niet over op dat kind. de geslachtsnaam van kinderen geboren uit een huwelijk met een lid van het koninklijk huis wordt"
DOC0016,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"bij koninklijk besluit bepaald. in het tweede, vijfde en zesde lid wordt onder «moeder» verstaan de vrouw uit wie het kind is geboren. in deze leden wordt met «de vader» van het kind en zijn «vaderschap» gelijkgesteld de moeder die niet de vrouw is uit wie het kind is geboren onderscheidenlijk haar moederschap. wordt voor het kind gekozen voor een combinatie van geslachtsnamen van de ouders, en een ouder heeft een geslachtsnaam die een combinatie is van twee geslachtsnamen van ouders, dan kan maximaal één geslachtsnaam uit de combinatie worden doorgegeven. dat geldt ook als op grond van het derde lid bij adoptie wordt gekozen voor een geslachtsnaam van één van de ouders in combinatie met de oorspronkelijke geslachtsnaam van het kind, of als die uit een combinatie van twee geslachtsnamen bestaat, één geslachtsnaam uit de combinatie."
DOC0017,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel6,,,Het recht op de naam,Artikel 6,,de geslachtsnaam wordt ten aanzien van een ieder dwingend bewezen door de akte van geboorte.
DOC0018,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel7,,,Het recht op de naam,Artikel 7,,"de geslachtsnaam van een persoon kan op zijn verzoek, of op verzoek van zijn wettelijke vertegenwoordiger, door de koning worden gewijzigd. hij wiens geslachtsnaam of voornamen niet bekend zijn, kan de koning verzoeken voor hem een geslachtsnaam of voornamen vast te stellen. een wijziging of vaststelling van de geslachtsnaam door de koning heeft geen invloed op de geslachtsnaam van de kinderen van de betrokken persoon die voor de datum van het besluit meerderjarig zijn geworden of die niet onder zijn gezag staan. een wijziging of vaststelling van de geslachtsnaam door de koning blijft in stand niettegenstaande een latere erkenning of een gerechtelijke vaststelling van het ouderschap. bij algemene maatregel van bestuur worden regelen gesteld betreffende de gronden waarop de geslachtsnaamswijziging kan worden verleend, de wijze van indiening en behandeling van verzoeken als in het eerste en het tweede lid bedoeld en betreffende het voor wijziging van de geslachtsnaam verschuldigde recht."
DOC0019,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel7,,,Het recht op de naam,Artikel 7,,"indien onze minister van justitie voornemens is een voordracht te doen voor een koninklijk besluit strekkende tot inwilliging van een verzoek als bedoeld in het eerste of tweede lid, deelt hij dit voornemen schriftelijk mee aan de verzoeker en degene wiens geslachtsnaam is verzocht, alsmede, indien het verzoek op de geslachtsnaam van een minderjarige betrekking heeft, zijn ouders en degene aan wie de minderjarige de geslachtsnaam, waarvan wijziging is verzocht, rechtstreeks ontleent. de schriftelijke mededeling van het voornemen geldt als een beschikking. onze minister van justitie doet de schriftelijke mededeling van het voornemen binnen twintig weken."
DOC0020,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel8,,,Het recht op de naam,Artikel 8,,"hij die de naam van een ander zonder diens toestemming voert, handelt jegens die persoon onrechtmatig, wanneer hij daardoor de schijn wekt die ander te zijn of tot diens geslacht of gezin te behoren."
DOC0021,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel9,,,Het recht op de naam,Artikel 9,,"een vrouw die gehuwd is of die gehuwd is geweest dan wel wier partnerschap geregistreerd is of is geweest en die niet is getrouwd na beëindiging van de registratie of is hertrouwd dan wel niet een geregistreerd partnerschap is aangegaan na beëindiging van het huwelijk of opnieuw is aangegaan, is steeds bevoegd de geslachtsnaam van haar echtgenoot of van haar geregistreerde partner te voeren of aan de hare te doen voorafgaan dan wel die te doen volgen op haar eigen geslachtsnaam. indien het huwelijk door echtscheiding is ontbonden en daaruit geen afstammelingen in leven zijn dan wel indien het geregistreerd partnerschap op de wijze bedoeld in artikel 80c, onder c of d, is beëindigd, kan de rechtbank, wanneer daartoe gegronde redenen bestaan, op verzoek van de gewezen echtgenoot of de gewezen geregistreerde partner aan de vrouw de haar in het eerste lid toegekende bevoegdheid ontnemen. het eerste en tweede lid"
DOC0022,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel9,,,Het recht op de naam,Artikel 9,,zijn van overeenkomstige toepassing ten aanzien van de man die gehuwd is of gehuwd is geweest dan wel wiens partnerschap geregistreerd is of is geweest en die niet is getrouwd na beëindiging van de registratie of is hertrouwd dan wel niet een geregistreerd partnerschap is aangegaan na beëindiging van het huwelijk of opnieuw is aangegaan.
DOC0023,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel3,,Artikel10,,,Woonplaats,Artikel 10,,"de woonplaats van een natuurlijk persoon bevindt zich te zijner woonstede, en bij gebreke van woonstede ter plaatse van zijn werkelijk verblijf. een rechtspersoon heeft zijn woonplaats ter plaatse waar hij volgens wettelijk voorschrift of volgens zijn statuten of reglementen zijn zetel heeft."
DOC0024,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel3,,Artikel11,,,Woonplaats,Artikel 11,,"een natuurlijk persoon verliest zijn woonstede door daden, waaruit zijn wil blijkt om haar prijs te geven. een natuurlijk persoon wordt vermoed zijn woonstede te hebben verplaatst, wanneer hij daarvan op de wettelijk voorgeschreven wijze aan de betrokken colleges van burgemeester en wethouders heeft kennis gegeven."
DOC0025,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel3,,Artikel12,,,Woonplaats,Artikel 12,,"een minderjarige volgt de woonplaats van hem die het gezag over hem uitoefent, de onder curatele gestelde die van zijn curator. oefenen beide ouders tezamen het gezag over hun minderjarige kind uit, doch hebben zij niet dezelfde woonplaats, dan volgt het kind de woonplaats van de ouder bij wie het feitelijk verblijft dan wel laatstelijk heeft verbleven. wanneer iemands goederen onder bewind staan, volgt hij voor alles wat de uitoefening van dit bewind betreft, de woonplaats van de bewindvoerder. wanneer ten behoeve van een persoon een mentorschap is ingesteld, volgt hij voor alles wat de uitoefening van dit mentorschap betreft, de woonplaats van de mentor. het eerste, tweede en derde lid zijn niet van toepassing voor zover het betreft de relatieve bevoegdheid van de rechter gedurende een curatele, een bewind als bedoeld in titel 19 en een mentorschap. hetzelfde geldt indien ten aanzien van een persoon een curatele, een mentorschap"
DOC0026,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel3,,Artikel12,,,Woonplaats,Artikel 12,,"of een bewind als bedoeld in titel 19 en tevens een bewind als bedoeld in afdeling 7 van titel 5 van boek 4 of een bewind als bedoeld in artikel 182 van boek 7 van kracht zijn en de bevoegde kantonrechter de andere kantonrechter als uitsluitend bevoegde heeft aangewezen. wanneer de persoon, van wie de woonplaats wordt afgeleid, overlijdt of zijn gezag of zijn hoedanigheid verliest, duurt de afgeleide woonplaats voort, totdat een nieuwe woonplaats is verkregen."
DOC0027,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel3,,Artikel13,,,Woonplaats,Artikel 13,,"het sterfhuis van een overledene is daar, waar hij zijn laatste woonplaats heeft gehad."
DOC0028,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel3,,Artikel14,,,Woonplaats,Artikel 14,,"een persoon die een kantoor of een filiaal houdt, heeft ten aanzien van aangelegenheden die dit kantoor of dit filiaal betreffen mede aldaar woonplaats."
DOC0029,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel3,,Artikel15,,,Woonplaats,Artikel 15,,"een persoon kan een andere woonplaats dan zijn werkelijke slechts kiezen, wanneer de wet hem daartoe verplicht, of wanneer de keuze bij schriftelijk of langs elektronische weg aangegane overeenkomst voor een of meer bepaalde rechtshandelingen of rechtsbetrekkingen geschiedt en voor de gekozen woonplaats een redelijk belang aanwezig is. indien de keuze bij langs elektronische weg aangegane overeenkomst geschiedt, is artikel 227a lid 1 van boek 6 van overeenkomstige toepassing."
DOC0030,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16,,"in elke gemeente zijn twee, of, naar goedvinden van burgemeester en wethouders, meer ambtenaren van de burgerlijke stand. daarenboven kunnen een of meer ambtenaren van de burgerlijke stand worden belast met het verrichten van bepaalde taken. deze dragen de titel van buitengewoon ambtenaar van de burgerlijke stand. een ambtenaar van de burgerlijke stand, die niet voldoet aan het in het tweede lid bedoelde vereiste van aanwijsbaarheid, wordt niet in aanmerking genomen voor de berekening van het in de eerste zin genoemde aantal. de in het eerste lid bedoelde ambtenaren worden door burgemeester en wethouders aangewezen. een aanwijzing kan voor een bepaalde tijdsduur geschieden. de aanwijzing eindigt van rechtswege met ingang van de datum waarop de uitoefening van de functie van ambtenaar van de burgerlijke stand of buitengewoon ambtenaar van de burgerlijke stand eindigt. als ambtenaar of buitengewoon ambtenaar van de burgerlijke stand is slechts aanwijsbaar de persoon die in de"
DOC0031,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16,,"uitoefening van zijn ambt geen onderscheid maakt als bedoeld in artikel 1 van de algemene wet gelijke behandeling, tenzij het onderscheid is gebaseerd op een wettelijk voorschrift. ambtenaar van de burgerlijke stand van een gemeente kan slechts zijn een ambtenaar in dienst van die gemeente of een andere gemeente. buitengewoon ambtenaar van de burgerlijke stand kan mede zijn een persoon die geen ambtenaar in gemeentelijke dienst is. de ambtenaar of buitengewoon ambtenaar van de burgerlijke stand wordt tot zijn betrekking niet toegelaten dan na voor de rechtbank tot wier rechtsgebied de gemeente behoort waar hij voor het eerst wordt benoemd de navolgende eed dan wel belofte te hebben afgelegd: ""ik zweer (beloof) dat ik de betrekking van ambtenaar van de burgerlijke stand met eerlijkheid en nauwkeurigheid zal vervullen en dat ik de wettelijke voorschriften, de burgerlijke stand betreffende, met de meeste nauwgezetheid zal opvolgen; dat ik voorts, tot het verkrijgen"
DOC0032,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16,,"van mijn aanstelling, middellijk noch onmiddellijk, onder enige naam of voorwendsel, aan iemand iets heb gegeven of beloofd, en dat ik, om iets in deze betrekking te doen of te laten, van niemand enige beloften of geschenken zal aannemen, middellijk of onmiddellijk. zo waarlijk helpe mij god almachtig"". (""dat verklaar en beloof ik""). wanneer de eed dan wel belofte, bedoeld in het vierde lid, in de friese taal wordt afgelegd, luidt de tekst van de eed dan wel belofte als volgt: «ik swar (ûnthjit) dat ik de funksje fan amtner fan de boargerlike stân mei earlikheid en soarchfâldichheid útoefenje sil en dat ik de wetlike foarskriften oangeande de boargerlike stân op ’en sekuersten neikomme sil; dat ik fierders, foar it krijen fan myn oanstelling, streekrjocht noch midlik, ûnder hokker namme of útwynsel dan ek, oan immen eat jûn of tasein haw, en dat ik, om eat yn dizze funksje te"
DOC0033,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16,,"dwaan of te litten, fan gjinien tasizzingen of geskinken, likefolle hokker, oannimme sil, midlik of streekrjocht. sa wier helpe my god almachtich». («dat ferklearje en ûnthjit ik»)."
DOC0034,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16a,,"de ambtenaar van de burgerlijke stand is belast met het opnemen in de onder hem berustende registers van de burgerlijke stand van akten en de daaraan toe te voegen latere vermeldingen, alsmede al datgene wat de instandhouding van de registers en de zorg voor de toegankelijkheid van de daarin neergelegde gegevens betreft. de buitengewoon ambtenaar van de burgerlijke stand kan uitsluitend worden belast met de taken omschreven in de artikelen 45, 45a, 58, 63, 64, 65, 67, 80a, derde lid, en 80g."
DOC0035,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16b,,"wanneer de ambtenaar van de burgerlijke stand in de uitoefening van zijn ambt op grond van enige bepaling van deze titel of van enige andere titel van dit boek in rechte optreedt, kan hij dit zonder advocaat doen."
DOC0036,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16c,,"burgemeester en wethouders bepalen de uren, waarop elk bureau van de burgerlijke stand dagelijks voor het publiek geopend zal zijn. daarbij wordt, ten einde de werkzaamheden van de ambtenaren van de burgerlijke stand op die dagen zoveel mogelijk te beperken, een afzonderlijke regeling getroffen voor de zaterdag, de zondag, de algemeen erkende feestdagen en de overige daarvoor door burgemeester en wethouders aan te wijzen dagen, waarop gemeentelijke diensten niet of slechts gedeeltelijk zijn geopend."
DOC0037,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De ambtenaar van de burgerlijke stand,Afdeling1,,,Burgerlijke stand,Artikel 16d,,"bij algemene maatregel van bestuur worden regels gesteld ten aanzien van de door het college van burgemeester en wethouders te treffen voorzieningen ten behoeve van de taakuitoefening door de ambtenaar van de burgerlijke stand, en voorts ten aanzien van al wat verder de taak van de ambtenaar van de burgerlijke stand betreft."
DOC0038,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De registers van de burgerlijke stand en de bewaring daarvan,Afdeling2,,,Burgerlijke stand,Artikel 17,,"er bestaan voor iedere gemeente registers van geboorten, van huwelijken, van geregistreerde partnerschappen en van overlijden. er bestaat in de gemeente 's-gravenhage, naast de in het eerste lid genoemde registers, een register voor de inschrijving van de in afdeling 6 bedoelde rechterlijke uitspraken."
DOC0039,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De registers van de burgerlijke stand en de bewaring daarvan,Afdeling2,,,Burgerlijke stand,Artikel 17a,,"de registers van de burgerlijke stand worden in het gemeentehuis bewaard totdat zij naar een gemeentelijke archiefbewaarplaats in de zin van de archiefwet 1995 (stb. 276) worden overgebracht. de overbrenging naar de gemeentelijke archiefbewaarplaats van de in het gemeentehuis berustende registers van geboorten, van huwelijken dan wel geregistreerde partnerschappen en van overlijden vindt eerst plaats onderscheidenlijk honderd jaar, vijfenzeventig jaar en vijftig jaar na de afsluiting van deze registers."
DOC0040,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De registers van de burgerlijke stand en de bewaring daarvan,Afdeling2,,,Burgerlijke stand,Artikel 17b,,"de beheerder van een archiefbewaarplaats als bedoeld in artikel 17a is belast met het bewaren van de onder hem berustende registers, met het toevoegen van latere vermeldingen aan de daarin opgenomen akten en met de afgifte van afschriften en uittreksels van deze akten."
DOC0041,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel4,De registers van de burgerlijke stand en de bewaring daarvan,Afdeling2,,,Burgerlijke stand,Artikel 17c,,"bij algemene maatregel van bestuur wordt geregeld alles wat verder betreft de inrichting van de registers, alsmede de in artikel 17b genoemde handelingen ten aanzien van die registers."
